Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	subtipos
140	Spectrogram 1	1	142.956520757	142.979539424	62500.0	77509.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
141	Spectrogram 1	1	143.156200756	143.184766090	62948.0	77060.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
142	Spectrogram 1	1	143.175891423	143.185043423	89381.7	96998.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
143	Spectrogram 1	1	145.558462527	145.579817194	57123.7	72132.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
144	Spectrogram 1	1	145.567059860	145.582035860	80421.1	88933.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
145	Spectrogram 1	1	145.582035860	145.613651860	62052.0	76836.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
146	Spectrogram 1	1	145.805012043	145.826921376	61155.9	72356.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
147	Spectrogram 1	1	145.815550710	145.830804043	76836.9	86693.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
148	Spectrogram 1	1	146.170537139	146.235155805	56003.6	67876.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
149	Spectrogram 1	1	153.555647783	153.570346450	65636.2	73924.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
150	Spectrogram 1	1	153.683775783	153.756159783	62052.0	70116.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
151	Spectrogram 1	1	154.106154632	154.158293298	62724.0	73476.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
152	Spectrogram 1	1	153.847402633	153.873749299	59139.8	71684.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
153	Spectrogram 1	1	153.862378633	153.875135966	81317.2	90501.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
154	Spectrogram 1	1	154.696042997	154.718784330	58691.8	71908.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
155	Spectrogram 1	1	154.736810997	154.750400330	60483.9	79077.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
156	Spectrogram 1	1	155.918529061	155.953750394	63844.1	74372.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
157	Spectrogram 1	1	156.392491909	156.406635909	61603.9	75492.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
158	Spectrogram 1	1	164.549421165	164.568002498	63172.0	79077.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
159	Spectrogram 1	1	165.207533530	165.225560197	56003.6	64292.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
160	Spectrogram 1	1	165.905027228	165.921112562	62948.0	73028.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
161	Spectrogram 1	1	169.808772815	169.837892815	77284.9	88933.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
